Feladvány: tests/test001d.txt, megoldásszám:   1, futási idõ:   0.000 s HELYES
Feladvány: tests/test155d.txt, megoldásszám:  60, futási idõ:   8.090 s HELYES
Feladvány: tests/test156d.txt, megoldásszám:  64, futási idõ:   1.180 s HELYES
Feladvány: tests/test157d.txt, megoldásszám:  68, futási idõ:   0.310 s HELYES
Feladvány: tests/test158d.txt, megoldásszám:  70, futási idõ:   0.340 s HELYES
Feladvány: tests/test159d.txt, megoldásszám:  73, futási idõ:   0.760 s HELYES
Feladvány: tests/test160d.txt, megoldásszám:  75, futási idõ:   3.500 s HELYES
Feladvány: tests/test161d.txt, megoldásszám:  75, futási idõ:   7.100 s HELYES
Feladvány: tests/test162d.txt, megoldásszám:  80, futási idõ:   0.160 s HELYES
Feladvány: tests/test163d.txt, megoldásszám:  80, futási idõ:   0.200 s HELYES
Feladvány: tests/test164d.txt, megoldásszám:  80, futási idõ:   1.300 s HELYES
Feladvány: tests/test165d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test166d.txt, megoldásszám:  84, futási idõ:   7.110 s HELYES
Feladvány: tests/test167d.txt, megoldásszám:  85, futási idõ:  26.940 s HELYES
Feladvány: tests/test168d.txt, megoldásszám:  86, futási idõ:   0.100 s HELYES
Feladvány: tests/test169d.txt, megoldásszám:  96, futási idõ:   0.110 s HELYES
Feladvány: tests/test170d.txt, megoldásszám:  96, futási idõ:   0.380 s HELYES
Feladvány: tests/test171d.txt, megoldásszám:  96, futási idõ:   1.110 s HELYES
Feladvány: tests/test172d.txt, megoldásszám:  96, futási idõ:   7.440 s HELYES
Feladvány: tests/test173d.txt, megoldásszám: 100, futási idõ:  17.160 s HELYES
Feladvány: tests/test174d.txt, megoldásszám:   1, futási idõ:   0.240 s HELYES
Feladvány: tests/test175d.txt, megoldásszám:   1, futási idõ:   0.210 s HELYES
Feladvány: tests/test176d.txt, megoldásszám:   1, futási idõ:   0.200 s HELYES
Feladvány: tests/test177d.txt, megoldásszám:   1, futási idõ:   0.210 s HELYES
Feladvány: tests/test178d.txt, megoldásszám:   1, futási idõ:   0.220 s HELYES
Feladvány: tests/test179d.txt, megoldásszám:   1, futási idõ:   0.230 s HELYES
Feladvány: tests/test180d.txt, megoldásszám:   1, futási idõ:   0.210 s HELYES
Feladvány: tests/test181d.txt, megoldásszám:   1, futási idõ:   0.190 s HELYES
Feladvány: tests/test182d.txt, megoldásszám:   1, futási idõ:   0.240 s HELYES
Feladvány: tests/test183d.txt, megoldásszám:   1, futási idõ:   0.220 s HELYES
Feladvány: tests/test184d.txt, megoldásszám:   1, futási idõ:   0.200 s HELYES
Feladvány: tests/test185d.txt, megoldásszám:   1, futási idõ:   0.210 s HELYES
Feladvány: tests/test186d.txt, megoldásszám:   1, futási idõ:   0.220 s HELYES
Feladvány: tests/test187d.txt, megoldásszám:   1, futási idõ:   0.230 s HELYES
Feladvány: tests/test188d.txt, megoldásszám:   1, futási idõ:   0.420 s HELYES
Feladvány: tests/test189d.txt, megoldásszám:   1, futási idõ:   0.210 s HELYES
Feladvány: tests/test190d.txt, megoldásszám:   1, futási idõ:   0.230 s HELYES
Feladvány: tests/test191d.txt, megoldásszám:   1, futási idõ:   0.240 s HELYES
Feladvány: tests/test192d.txt, megoldásszám:   2, futási idõ:   0.220 s HELYES
Feladvány: tests/test193d.txt, megoldásszám:   2, futási idõ:   0.210 s HELYES
Feladvány: tests/test194d.txt, megoldásszám:   2, futási idõ:   0.240 s HELYES
Feladvány: tests/test195d.txt, megoldásszám:   2, futási idõ:   0.240 s HELYES
Feladvány: tests/test196d.txt, megoldásszám:   2, futási idõ:   0.230 s HELYES
Feladvány: tests/test197d.txt, megoldásszám:   2, futási idõ:   0.210 s HELYES
Feladvány: tests/test198d.txt, megoldásszám:   2, futási idõ:   0.220 s HELYES
Feladvány: tests/test199d.txt, megoldásszám:   2, futási idõ:   0.260 s HELYES
Feladvány: tests/test200d.txt, megoldásszám:   2, futási idõ:   0.250 s HELYES
Feladvány: tests/test201d.txt, megoldásszám:   2, futási idõ:   0.240 s HELYES
Feladvány: tests/test202d.txt, megoldásszám:   2, futási idõ:   0.330 s HELYES
Feladvány: tests/test203d.txt, megoldásszám:   4, futási idõ:   0.220 s HELYES
Feladvány: tests/test204d.txt, megoldásszám:   4, futási idõ:   0.230 s HELYES
Feladvány: tests/test205d.txt, megoldásszám:   4, futási idõ:   0.200 s HELYES
Feladvány: tests/test206d.txt, megoldásszám:   4, futási idõ:   0.240 s HELYES
Feladvány: tests/test207d.txt, megoldásszám:   4, futási idõ:   1.090 s HELYES
Feladvány: tests/test208d.txt, megoldásszám:   4, futási idõ:   1.990 s HELYES
Feladvány: tests/test209d.txt, megoldásszám:   4, futási idõ:   5.380 s HELYES
Feladvány: tests/test210d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test211d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test212d.txt, megoldásszám:   6, futási idõ:   0.240 s HELYES
Feladvány: tests/test213d.txt, megoldásszám:   6, futási idõ:   0.500 s HELYES
Feladvány: tests/test214d.txt, megoldásszám:   6, futási idõ:   4.990 s HELYES
Feladvány: tests/test215d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test216d.txt, megoldásszám:   8, futási idõ:   0.220 s HELYES
Feladvány: tests/test217d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test218d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test219d.txt, megoldásszám:  54, futási idõ:  14.560 s HELYES
Feladvány: tests/test220d.txt, megoldásszám:  64, futási idõ:   1.650 s HELYES
Feladvány: tests/test221d.txt, megoldásszám:  72, futási idõ:   7.670 s HELYES
Feladvány: tests/test222d.txt, megoldásszám:  72, futási idõ:  15.220 s HELYES
Feladvány: tests/test223d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test224d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test225d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test226d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test227d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test228d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test229d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test230d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test231d.txt, megoldásszám:  80, futási idõ:   9.750 s HELYES
Feladvány: tests/test232d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test233d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test234d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test235d.txt, megoldásszám:  88, futási idõ:   0.380 s HELYES
Feladvány: tests/test236d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test237d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test238d.txt, megoldásszám:  96, futási idõ:   0.380 s HELYES
Feladvány: tests/test239d.txt, megoldásszám:  96, futási idõ:   0.410 s HELYES
Feladvány: tests/test240d.txt, megoldásszám:  96, futási idõ:   3.510 s HELYES
Feladvány: tests/test241d.txt, megoldásszám:  96, futási idõ: 118.500 s HELYES
Feladvány: tests/test242d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test243d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test244d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test245d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test246d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test247d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test248d.txt, megoldásszám:   1, futási idõ:   0.980 s HELYES
Feladvány: tests/test249d.txt, megoldásszám:   1, futási idõ:   0.960 s HELYES
Feladvány: tests/test250d.txt, megoldásszám:   1, futási idõ:   0.970 s HELYES
Feladvány: tests/test251d.txt, megoldásszám:   1, futási idõ:   0.990 s HELYES
Feladvány: tests/test252d.txt, megoldásszám:   1, futási idõ:   1.040 s HELYES
Feladvány: tests/test253d.txt, megoldásszám:   1, futási idõ:   0.920 s HELYES
Feladvány: tests/test254d.txt, megoldásszám:   1, futási idõ:   0.910 s HELYES
Feladvány: tests/test255d.txt, megoldásszám:   1, futási idõ:   1.140 s HELYES
Feladvány: tests/test256d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test257d.txt, megoldásszám:   4, futási idõ:   0.940 s HELYES
Feladvány: tests/test258d.txt, megoldásszám:   4, futási idõ:   0.930 s HELYES
Feladvány: tests/test259d.txt, megoldásszám:   4, futási idõ:   0.990 s HELYES
Feladvány: tests/test260d.txt, megoldásszám:   4, futási idõ:   1.000 s HELYES
Feladvány: tests/test261d.txt, megoldásszám:   4, futási idõ:   1.010 s HELYES
Feladvány: tests/test262d.txt, megoldásszám:   4, futási idõ:   1.080 s HELYES
Feladvány: tests/test263d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test264d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test265d.txt, megoldásszám:   5, futási idõ:   1.020 s HELYES
Feladvány: tests/test266d.txt, túllépte az idõkorlátot (120 s)
Feladvány: tests/test267d.txt, megoldásszám:   8, futási idõ:   1.040 s HELYES
Feladvány: tests/test268d.txt, megoldásszám:   8, futási idõ:   1.080 s HELYES
Feladvány: tests/test269d.txt, megoldásszám:   8, futási idõ:   1.040 s HELYES
Feladvány: tests/test270d.txt, megoldásszám:   8, futási idõ:   1.100 s HELYES
Feladvány: tests/test271d.txt, túllépte az idõkorlátot (120 s)
